Rezept;Kategorie;Schwierigkeit;Zeit_min;Haupttechnik;Hinweis;Portionen;Zutat_01;Menge_01;Einheit_01;Zutat_02;Menge_02;Einheit_02;Zutat_03;Menge_03;Einheit_03;Zutat_04;Menge_04;Einheit_04;Zutat_05;Menge_05;Einheit_05;Zutat_06;Menge_06;Einheit_06;Zutat_07;Menge_07;Einheit_07;Zutat_08;Menge_08;Einheit_08;Schritt_01;Schritt_02;Schritt_03;Schritt_04;Schritt_05
Linsen-Bolognese mit Spaghetti;Pasta;mittel;65;Kochen;vegan;4;Nudeln;400;g;Gemüse;500;g;Sahne oder Frischkäse;200;g;;;;;;;;;;;;;;;;Nudeln kochen.;Gemüse anbraten.;Sauce rühren.;Mischen.;
Mac and Cheese (Ofen);Pasta;mittel;75;Backen;vegetarisch;4;Nudeln;400;g;Gemüse;500;g;Sahne oder Frischkäse;200;g;;;;;;;;;;;;;;;;Nudeln kochen.;Gemüse anbraten.;Sauce rühren.;Mischen.;
Nudelauflauf mit Schinken;Pasta;mittel;75;Backen;mit Fleisch;4;Nudeln;400;g;Gemüse;500;g;Sahne oder Frischkäse;200;g;;;;;;;;;;;;;;;;Nudeln kochen.;Gemüse anbraten.;Sauce rühren.;Mischen.;
Brokkoli-Nudelauflauf;Pasta;mittel;80;Backen;vegetarisch;4;Nudeln;400;g;Gemüse;500;g;Sahne oder Frischkäse;200;g;;;;;;;;;;;;;;;;Nudeln kochen.;Gemüse anbraten.;Sauce rühren.;Mischen.;
Cannelloni mit Spinat-Ricotta;Pasta;mittel;95;Backen;vegetarisch;4;Nudeln;400;g;Gemüse;500;g;Sahne oder Frischkäse;200;g;;;;;;;;;;;;;;;;Nudeln kochen.;Gemüse anbraten.;Sauce rühren.;Mischen.;
Gemüse-Lasagne (schnell);Pasta;mittel;110;Backen;vegetarisch;4;Lasagneplatten;250;g;Tomaten (Dose);800;g;Gemüse;600;g;Crème fraîche;200;g;Käse (gerieben);200;g;;;;;;;;;;Ofen vorheizen.;Sauce kochen.;Schichten.;Backen.;
Lasagne (Gemüse);Pasta;mittel;110;Backen;vegetarisch;4;Lasagneplatten;250;g;Tomaten (Dose);800;g;Gemüse;600;g;Crème fraîche;200;g;Käse (gerieben);200;g;;;;;;;;;;Ofen vorheizen.;Sauce kochen.;Schichten.;Backen.;
Tomatenreis;Reis;leicht;35;Kochen;vegan;4;Reis;300;g;Gemüse;600;g;Sojasauce;3;EL;;;;;;;;;;;;;;;;Reis kochen.;Gemüse anbraten.;Mischen.;;
Gebratener Reis mit Ei;Reis;mittel;40;Braten;vegetarisch;4;Reis;300;g;Gemüse;600;g;Sojasauce;3;EL;;;;;;;;;;;;;;;;Reis kochen.;Gemüse anbraten.;Mischen.;;
Gemüsereis;Reis;leicht;45;Kochen;vegan;4;Reis;300;g;Gemüse;600;g;Sojasauce;3;EL;;;;;;;;;;;;;;;;Reis kochen.;Gemüse anbraten.;Mischen.;;
Risotto mit Erbsen;Reis;mittel;75;Rühren;vegetarisch;4;Risottoreis;300;g;Zwiebel;1;Stück;Gemüsebrühe;1000;ml;Parmesan;80;g;Erbsen (TK);250;g;;;;;;;;;;Zwiebel schneiden.;Reis anschwitzen.;Brühe nach und nach zugeben.;Gemüse zugeben.;Parmesan einrühren.
Risotto mit Pilzen;Reis;mittel;80;Rühren;vegetarisch;4;Risottoreis;300;g;Zwiebel;1;Stück;Gemüsebrühe;1000;ml;Parmesan;80;g;Champignons;400;g;;;;;;;;;;Zwiebel schneiden.;Reis anschwitzen.;Brühe nach und nach zugeben.;Gemüse zugeben.;Parmesan einrühren.
Quinoa-Bowl mit Gemüse;Bowl;mittel;50;Kochen;vegan;4;Reis;300;g;Gemüse;600;g;Sojasauce;4;EL;;;;;;;;;;;;;;;;Reis kochen.;Gemüse schneiden.;Anrichten.;Soße dazu.;
Burrito-Bowl;Bowl;leicht;55;Kochen;vegan möglich;4;Reis;300;g;Gemüse;600;g;Sojasauce;4;EL;;;;;;;;;;;;;;;;Reis kochen.;Gemüse schneiden.;Anrichten.;Soße dazu.;
Sushi-Bowl (ohne Rollen);Bowl;mittel;60;Kochen;mit Fisch möglich;4;Reis;300;g;Gemüse;600;g;Sojasauce;4;EL;;;;;;;;;;;;;;;;Reis kochen.;Gemüse schneiden.;Anrichten.;Soße dazu.;
Reis-Bowl mit Ofengemüse;Bowl;leicht;65;Backen;vegan;4;Reis;300;g;Gemüse;600;g;Sojasauce;4;EL;;;;;;;;;;;;;;;;Reis kochen.;Gemüse schneiden.;Anrichten.;Soße dazu.;
Gnocchi in Tomatensauce;Hauptgericht;leicht;30;Kochen;vegan möglich;4;Gemüse;800;g;Zwiebel;1;Stück;Reis oder Nudeln;300;g;;;;;;;;;;;;;;;;Beilage kochen.;Gemüse anbraten.;Servieren.;;
Tomaten-Couscous;Hauptgericht;leicht;30;Quellen lassen;vegan;4;Gemüse;800;g;Zwiebel;1;Stück;Reis oder Nudeln;300;g;;;;;;;;;;;;;;;;Beilage kochen.;Gemüse anbraten.;Servieren.;;
Feta aus dem Ofen mit Tomaten;Hauptgericht;leicht;35;Backen;vegetarisch;4;Gemüse;800;g;Zwiebel;1;Stück;Reis oder Nudeln;300;g;;;;;;;;;;;;;;;;Beilage kochen.;Gemüse anbraten.;Servieren.;;
Gemüsepfanne mit Sojasauce;Hauptgericht;leicht;35;Braten;vegan;4;Gemüse;800;g;Zwiebel;1;Stück;Reis oder Nudeln;300;g;;;;;;;;;;;;;;;;Beilage kochen.;Gemüse anbraten.;Servieren.;;
Gnocchi-Pfanne mit Gemüse;Hauptgericht;leicht;35;Braten;vegetarisch;4;Gemüse;800;g;Zwiebel;1;Stück;Reis oder Nudeln;300;g;;;;;;;;;;;;;;;;Beilage kochen.;Gemüse anbraten.;Servieren.;;
Pilzrahm mit Spätzle (fertige Spätzle);Hauptgericht;leicht;35;Kochen;vegetarisch;4;Gemüse;800;g;Zwiebel;1;Stück;Reis oder Nudeln;300;g;;;;;;;;;;;;;;;;Beilage kochen.;Gemüse anbraten.;Servieren.;;
Tomaten-Bohnen-Pfanne;Hauptgericht;leicht;35;Kochen;vegan;4;Gemüse;800;g;Zwiebel;1;Stück;Reis oder Nudeln;300;g;;;;;;;;;;;;;;;;Beilage kochen.;Gemüse anbraten.;Servieren.;;
Kichererbsen-Pfanne mediterran;Hauptgericht;leicht;40;Braten;vegan;4;Gemüse;800;g;Zwiebel;1;Stück;Reis oder Nudeln;300;g;;;;;;;;;;;;;;;;Beilage kochen.;Gemüse anbraten.;Servieren.;;
Pita mit Hähnchen und Salat;Hauptgericht;leicht;40;Braten;mit Fleisch;4;Gemüse;800;g;Zwiebel;1;Stück;Reis oder Nudeln;300;g;;;;;;;;;;;;;;;;Beilage kochen.;Gemüse anbraten.;Servieren.;;
Gemüse-Bulgur-Pfanne;Hauptgericht;leicht;45;Kochen;vegan;4;Gemüse;800;g;Zwiebel;1;Stück;Reis oder Nudeln;300;g;;;;;;;;;;;;;;;;Beilage kochen.;Gemüse anbraten.;Servieren.;;
Gemüsepfanne mit Couscous;Hauptgericht;leicht;45;Kochen;vegan;4;Gemüse;800;g;Zwiebel;1;Stück;Reis oder Nudeln;300;g;;;;;;;;;;;;;;;;Beilage kochen.;Gemüse anbraten.;Servieren.;;
Kartoffel-Gemüse-Pfanne;Hauptgericht;leicht;45;Braten;vegan;4;Gemüse;800;g;Zwiebel;1;Stück;Reis oder Nudeln;300;g;;;;;;;;;;;;;;;;Beilage kochen.;Gemüse anbraten.;Servieren.;;
Ofen-Falafel (fertige Mischung);Hauptgericht;leicht;45;Backen;vegan;4;Gemüse;800;g;Zwiebel;1;Stück;Reis oder Nudeln;300;g;;;;;;;;;;;;;;;;Beilage kochen.;Gemüse anbraten.;Servieren.;;
Pfannengemüse mit Bratwurst;Hauptgericht;leicht;45;Braten;mit Fleisch;4;Gemüse;800;g;Zwiebel;1;Stück;Reis oder Nudeln;300;g;;;;;;;;;;;;;;;;Beilage kochen.;Gemüse anbraten.;Servieren.;;
Tacos mit Bohnen und Mais;Hauptgericht;leicht;45;Braten;vegan;4;Gemüse;800;g;Zwiebel;1;Stück;Reis oder Nudeln;300;g;;;;;;;;;;;;;;;;Beilage kochen.;Gemüse anbraten.;Servieren.;;
Gebratene Nudeln mit Gemüse;Hauptgericht;mittel;45;Braten;vegan;4;Gemüse;800;g;Zwiebel;1;Stück;Reis oder Nudeln;300;g;;;;;;;;;;;;;;;;Beilage kochen.;Gemüse anbraten.;Servieren.;;
Wok-Gemüse mit Mie-Nudeln;Hauptgericht;mittel;45;Braten;vegan;4;Gemüse;800;g;Zwiebel;1;Stück;Reis oder Nudeln;300;g;;;;;;;;;;;;;;;;Beilage kochen.;Gemüse anbraten.;Servieren.;;
Eier in Senfsauce;Hauptgericht;mittel;50;Kochen;vegetarisch;4;Gemüse;800;g;Zwiebel;1;Stück;Reis oder Nudeln;300;g;;;;;;;;;;;;;;;;Beilage kochen.;Gemüse anbraten.;Servieren.;;
Frittata mit Gemüse;Hauptgericht;mittel;50;Backen;vegetarisch;4;Gemüse;800;g;Zwiebel;1;Stück;Reis oder Nudeln;300;g;;;;;;;;;;;;;;;;Beilage kochen.;Gemüse anbraten.;Servieren.;;
Gebratene Nudeln mit Hähnchen;Hauptgericht;mittel;50;Braten;mit Fleisch;4;Gemüse;800;g;Zwiebel;1;Stück;Reis oder Nudeln;300;g;;;;;;;;;;;;;;;;Beilage kochen.;Gemüse anbraten.;Servieren.;;
Gemüse-Stir-Fry mit Reisnudeln;Hauptgericht;mittel;50;Braten;vegan;4;Gemüse;800;g;Zwiebel;1;Stück;Reis oder Nudeln;300;g;;;;;;;;;;;;;;;;Beilage kochen.;Gemüse anbraten.;Servieren.;;
Pellkartoffeln mit Quark;Hauptgericht;leicht;55;Kochen;vegetarisch;4;Gemüse;800;g;Zwiebel;1;Stück;Reis oder Nudeln;300;g;;;;;;;;;;;;;;;;Beilage kochen.;Gemüse anbraten.;Servieren.;;
Kichererbsen-Curry;Hauptgericht;mittel;55;Kochen;vegan;4;Gemüse;800;g;Zwiebel;1;Stück;Reis oder Nudeln;300;g;;;;;;;;;;;;;;;;Beilage kochen.;Gemüse anbraten.;Servieren.;;
Pita mit Falafel und Salat;Hauptgericht;mittel;55;Zusammenstellen;vegetarisch;4;Gemüse;800;g;Zwiebel;1;Stück;Reis oder Nudeln;300;g;;;;;;;;;;;;;;;;Beilage kochen.;Gemüse anbraten.;Servieren.;;
Schupfnudeln mit Sauerkraut;Hauptgericht;mittel;55;Braten;vegetarisch;4;Gemüse;800;g;Zwiebel;1;Stück;Reis oder Nudeln;300;g;;;;;;;;;;;;;;;;Beilage kochen.;Gemüse anbraten.;Servieren.;;
Schupfnudeln mit Speck;Hauptgericht;mittel;55;Braten;mit Fleisch;4;Gemüse;800;g;Zwiebel;1;Stück;Reis oder Nudeln;300;g;;;;;;;;;;;;;;;;Beilage kochen.;Gemüse anbraten.;Servieren.;;
Shakshuka (Schulversion);Hauptgericht;mittel;55;Schmoren;vegetarisch;4;Gemüse;800;g;Zwiebel;1;Stück;Reis oder Nudeln;300;g;;;;;;;;;;;;;;;;Beilage kochen.;Gemüse anbraten.;Servieren.;;
Kürbis aus dem Ofen mit Dip;Hauptgericht;leicht;60;Backen;vegan möglich;4;Gemüse;800;g;Zwiebel;1;Stück;Reis oder Nudeln;300;g;;;;;;;;;;;;;;;;Beilage kochen.;Gemüse anbraten.;Servieren.;;
Spinat mit Spiegelei und Kartoffeln;Hauptgericht;leicht;60;Kochen;vegetarisch;4;Gemüse;800;g;Zwiebel;1;Stück;Reis oder Nudeln;300;g;;;;;;;;;;;;;;;;Beilage kochen.;Gemüse anbraten.;Servieren.;;
Gemüse-Curry (Kokos);Hauptgericht;mittel;60;Kochen;vegan;4;Gemüse;800;g;Zwiebel;1;Stück;Reis oder Nudeln;300;g;;;;;;;;;;;;;;;;Beilage kochen.;Gemüse anbraten.;Servieren.;;
Gemüse-Reibekuchen;Hauptgericht;mittel;60;Braten;vegetarisch;4;Gemüse;800;g;Zwiebel;1;Stück;Reis oder Nudeln;300;g;;;;;;;;;;;;;;;;Beilage kochen.;Gemüse anbraten.;Servieren.;;
Gemüse-Tortilla (spanisches Omelett);Hauptgericht;mittel;60;Braten;vegetarisch;4;Gemüse;800;g;Zwiebel;1;Stück;Reis oder Nudeln;300;g;;;;;;;;;;;;;;;;Beilage kochen.;Gemüse anbraten.;Servieren.;;
Pfannengyros (mild) mit Tzatziki;Hauptgericht;mittel;60;Braten;mit Fleisch;4;Gemüse;800;g;Zwiebel;1;Stück;Reis oder Nudeln;300;g;;;;;;;;;;;;;;;;Beilage kochen.;Gemüse anbraten.;Servieren.;;
Fischstäbchen mit Kartoffelsalat;Hauptgericht;leicht;70;Braten;mit Fisch;4;Gemüse;800;g;Zwiebel;1;Stück;Reis oder Nudeln;300;g;;;;;;;;;;;;;;;;Beilage kochen.;Gemüse anbraten.;Servieren.;;
Ofenkartoffeln mit Kräuterquark;Hauptgericht;leicht;70;Backen;vegetarisch;4;Kartoffeln;1400;g;Quark;400;g;Schnittlauch;1;Bund;;;;;;;;;;;;;;;;Ofen vorheizen.;Kartoffeln backen.;Dip rühren.;Servieren.;
Dahl (rote Linsen);Hauptgericht;mittel;70;Kochen;vegan;4;Gemüse;800;g;Zwiebel;1;Stück;Reis oder Nudeln;300;g;;;;;;;;;;;;;;;;Beilage kochen.;Gemüse anbraten.;Servieren.;;
Gemüse-Frikadellen (Hafer) ;Hauptgericht;mittel;70;Braten;vegan;4;Gemüse;800;g;Zwiebel;1;Stück;Reis oder Nudeln;300;g;;;;;;;;;;;;;;;;Beilage kochen.;Gemüse anbraten.;Servieren.;;
Hähnchen-Geschnetzeltes (mild) mit Reis;Hauptgericht;mittel;70;Braten;mit Fleisch;4;Gemüse;800;g;Zwiebel;1;Stück;Reis oder Nudeln;300;g;;;;;;;;;;;;;;;;Beilage kochen.;Gemüse anbraten.;Servieren.;;
Ratatoille (schnell);Hauptgericht;mittel;70;Schmoren;vegan;4;Gemüse;800;g;Zwiebel;1;Stück;Reis oder Nudeln;300;g;;;;;;;;;;;;;;;;Beilage kochen.;Gemüse anbraten.;Servieren.;;
Baked Potatoes mit Bohnen;Hauptgericht;leicht;75;Backen;vegan;4;Gemüse;800;g;Zwiebel;1;Stück;Reis oder Nudeln;300;g;;;;;;;;;;;;;;;;Beilage kochen.;Gemüse anbraten.;Servieren.;;
Lachs aus dem Ofen mit Zitronenreis;Hauptgericht;mittel;75;Backen;mit Fisch;4;Gemüse;800;g;Zwiebel;1;Stück;Reis oder Nudeln;300;g;;;;;;;;;;;;;;;;Beilage kochen.;Gemüse anbraten.;Servieren.;;
Falafel (Pfanne) mit Joghurt-Dip;Hauptgericht;mittel;80;Braten;vegetarisch;4;Gemüse;800;g;Zwiebel;1;Stück;Reis oder Nudeln;300;g;;;;;;;;;;;;;;;;Beilage kochen.;Gemüse anbraten.;Servieren.;;
Frikadellen mit Kartoffelpüree;Hauptgericht;mittel;85;Braten;mit Fleisch;4;Gemüse;800;g;Zwiebel;1;Stück;Reis oder Nudeln;300;g;;;;;;;;;;;;;;;;Beilage kochen.;Gemüse anbraten.;Servieren.;;
Spätzle (schnell, aus Teig);Hauptgericht;mittel;90;Kochen;vegetarisch;4;Gemüse;800;g;Zwiebel;1;Stück;Reis oder Nudeln;300;g;;;;;;;;;;;;;;;;Beilage kochen.;Gemüse anbraten.;Servieren.;;
Veggie-Burger (Bohnenpatty);Hauptgericht;mittel;90;Braten;vegan möglich;4;Gemüse;800;g;Zwiebel;1;Stück;Reis oder Nudeln;300;g;;;;;;;;;;;;;;;;Beilage kochen.;Gemüse anbraten.;Servieren.;;
Käsespätzle;Hauptgericht;mittel;95;Kochen;vegetarisch;4;Gemüse;800;g;Zwiebel;1;Stück;Reis oder Nudeln;300;g;;;;;;;;;;;;;;;;Beilage kochen.;Gemüse anbraten.;Servieren.;;
Burger (Rind) mit Ofenpommes;Hauptgericht;mittel;105;Braten;mit Fleisch;4;Gemüse;800;g;Zwiebel;1;Stück;Reis oder Nudeln;300;g;;;;;;;;;;;;;;;;Beilage kochen.;Gemüse anbraten.;Servieren.;;
Hähnchen im Ofen mit Gemüse;Ofengericht;mittel;80;Backen;mit Fleisch;4;Gemüse;800;g;Zwiebel;1;Stück;Reis oder Nudeln;300;g;;;;;;;;;;;;;;;;Beilage kochen.;Gemüse anbraten.;Servieren.;;
Gemüseauflauf;Ofengericht;mittel;85;Backen;vegetarisch;4;Gemüse;800;g;Zwiebel;1;Stück;Reis oder Nudeln;300;g;;;;;;;;;;;;;;;;Beilage kochen.;Gemüse anbraten.;Servieren.;;
Kartoffelgratin;Ofengericht;mittel;90;Backen;vegetarisch;4;Gemüse;800;g;Zwiebel;1;Stück;Reis oder Nudeln;300;g;;;;;;;;;;;;;;;;Beilage kochen.;Gemüse anbraten.;Servieren.;;
Gemüseauflauf mit Kartoffeln;Ofengericht;mittel;95;Backen;vegetarisch;4;Gemüse;800;g;Zwiebel;1;Stück;Reis oder Nudeln;300;g;;;;;;;;;;;;;;;;Beilage kochen.;Gemüse anbraten.;Servieren.;;
Zimtschnecken (schnell, Fertigteig);Backen;leicht;45;Backen;vegetarisch;4;Mehl;300;g;Zucker;150;g;Backpulver;1;Packung;Eier;2;Stück;Milch;250;ml;Butter;100;g;;;;;;;Teig rühren.;Backen.;;;
Baked Oatmeal;Backen;leicht;60;Backen;vegetarisch;4;Mehl;300;g;Zucker;150;g;Backpulver;1;Packung;Eier;2;Stück;Milch;250;ml;Butter;100;g;;;;;;;Teig rühren.;Backen.;;;
Muffins (Basis);Backen;leicht;60;Backen;vegetarisch;4;Mehl;300;g;Zucker;150;g;Backpulver;1;Packung;Eier;2;Stück;Milch;250;ml;Butter;100;g;;;;;;;Ofen vorheizen.;Teig rühren.;Füllen.;Backen.;
Schoko-Muffins;Backen;leicht;65;Backen;vegetarisch;4;Mehl;300;g;Zucker;150;g;Backpulver;1;Packung;Eier;2;Stück;Milch;250;ml;Butter;100;g;Kakaopulver;3;EL;Schokodrops;100;g;Ofen vorheizen.;Teig rühren.;Füllen.;Backen.;
Flammkuchen (Schulversion);Backen;mittel;75;Backen;mit Fleisch möglich;4;Mehl;300;g;Zucker;150;g;Backpulver;1;Packung;Eier;2;Stück;Milch;250;ml;Butter;100;g;;;;;;;Teig rühren.;Backen.;;;
Bananenbrot;Backen;leicht;80;Backen;vegetarisch;4;Mehl;300;g;Zucker;150;g;Backpulver;1;Packung;Eier;2;Stück;Milch;250;ml;Butter;100;g;;;;;;;Teig rühren.;Backen.;;;
Gemüse-Quiche (fertiger Teig);Backen;mittel;90;Backen;vegetarisch;4;Mehl;300;g;Zucker;150;g;Backpulver;1;Packung;Eier;2;Stück;Milch;250;ml;Butter;100;g;;;;;;;Teig rühren.;Backen.;;;
Pizzaschnecken;Backen;mittel;90;Backen;vegetarisch;4;Pizzateig;2;Stück;Tomatenpassata;400;ml;Käse (gerieben);250;g;Belag;400;g;;;;;;;;;;;;;Ofen vorheizen.;Belegen.;Backen.;;
Rührkuchen (Marmorkuchen);Backen;mittel;90;Backen;vegetarisch;4;Mehl;300;g;Zucker;150;g;Backpulver;1;Packung;Eier;2;Stück;Milch;250;ml;Butter;100;g;;;;;;;Teig rühren.;Backen.;;;
Spinatquiche (fertiger Teig);Backen;mittel;90;Backen;vegetarisch;4;Mehl;300;g;Zucker;150;g;Backpulver;1;Packung;Eier;2;Stück;Milch;250;ml;Butter;100;g;;;;;;;Teig rühren.;Backen.;;;
Käse-Schinken-Quiche (fertiger Teig);Backen;mittel;95;Backen;mit Fleisch;4;Mehl;300;g;Zucker;150;g;Backpulver;1;Packung;Eier;2;Stück;Milch;250;ml;Butter;100;g;;;;;;;Teig rühren.;Backen.;;;
Brötchen selbst backen (schnell);Backen;mittel;105;Backen;vegan;4;Mehl;300;g;Zucker;150;g;Backpulver;1;Packung;Eier;2;Stück;Milch;250;ml;Butter;100;g;;;;;;;Teig rühren.;Backen.;;;
Focaccia (schnell);Backen;mittel;105;Backen;vegan;4;Mehl;300;g;Zucker;150;g;Backpulver;1;Packung;Eier;2;Stück;Milch;250;ml;Butter;100;g;;;;;;;Teig rühren.;Backen.;;;
Käsekuchen (Blech, einfach);Backen;mittel;110;Backen;vegetarisch;4;Mehl;300;g;Zucker;150;g;Backpulver;1;Packung;Eier;2;Stück;Milch;250;ml;Butter;100;g;;;;;;;Teig rühren.;Backen.;;;
Pizza Margherita (Blech);Backen;mittel;110;Backen;vegetarisch;4;Pizzateig;2;Stück;Tomatenpassata;400;ml;Käse (gerieben);250;g;Belag;400;g;;;;;;;;;;;;;Ofen vorheizen.;Belegen.;Backen.;;
Pizza mit Gemüse (Blech);Backen;mittel;115;Backen;vegetarisch;4;Pizzateig;2;Stück;Tomatenpassata;400;ml;Käse (gerieben);250;g;Belag;400;g;;;;;;;;;;;;;Ofen vorheizen.;Belegen.;Backen.;;
Joghurt-Eis (ohne Maschine);Dessert;leicht;15;Gefrieren;vegetarisch;4;TK-Obst;600;g;Joghurt;300;g;Honig;2;EL;;;;;;;;;;;;;;;;TK-Obst kurz antauen.;Mit Joghurt mixen.;Sofort servieren.;;
Obstsalat;Dessert;leicht;15;Kalt zubereiten;vegan;4;Obst-Mix;900;g;Zitrone;1;Stück;Honig (optional);1;EL;;;;;;;;;;;;;;;;Obst schneiden.;Mit Zitrone mischen.;Servieren.;;
Quarkdessert mit Beeren;Dessert;leicht;20;Kalt zubereiten;vegetarisch;4;Joghurt oder Quark;500;g;Beeren;400;g;Zucker oder Honig;2;EL;;;;;;;;;;;;;;;;Verrühren.;Schichten.;Servieren.;;
Apfelkompott;Dessert;leicht;25;Kochen;vegan;4;Joghurt oder Quark;500;g;Beeren;400;g;Zucker oder Honig;2;EL;;;;;;;;;;;;;;;;Verrühren.;Schichten.;Servieren.;;
Grießbrei;Dessert;leicht;25;Kochen;vegetarisch;4;Joghurt oder Quark;500;g;Beeren;400;g;Zucker oder Honig;2;EL;;;;;;;;;;;;;;;;Verrühren.;Schichten.;Servieren.;;
Mini-Käsekuchen im Glas (ohne Backen);Dessert;leicht;25;Kalt zubereiten;vegetarisch;4;Joghurt oder Quark;500;g;Beeren;400;g;Zucker oder Honig;2;EL;;;;;;;;;;;;;;;;Verrühren.;Schichten.;Servieren.;;
Pudding (Vanille) mit Obst;Dessert;leicht;25;Kochen;vegetarisch;4;Joghurt oder Quark;500;g;Beeren;400;g;Zucker oder Honig;2;EL;;;;;;;;;;;;;;;;Verrühren.;Schichten.;Servieren.;;
Schokopudding vegan;Dessert;leicht;25;Kochen;vegan;4;Joghurt oder Quark;500;g;Beeren;400;g;Zucker oder Honig;2;EL;;;;;;;;;;;;;;;;Verrühren.;Schichten.;Servieren.;;
Crêpes mit Zucker und Zitrone;Dessert;leicht;30;Braten;vegetarisch;4;Joghurt oder Quark;500;g;Beeren;400;g;Zucker oder Honig;2;EL;;;;;;;;;;;;;;;;Verrühren.;Schichten.;Servieren.;;
Waffeln;Dessert;leicht;35;Backen;vegetarisch;4;Joghurt oder Quark;500;g;Beeren;400;g;Zucker oder Honig;2;EL;;;;;;;;;;;;;;;;Verrühren.;Schichten.;Servieren.;;
Tiramisu (ohne Alkohol, Schulversion);Dessert;mittel;35;Kalt zubereiten;vegetarisch;4;Joghurt oder Quark;500;g;Beeren;400;g;Zucker oder Honig;2;EL;;;;;;;;;;;;;;;;Verrühren.;Schichten.;Servieren.;;
Kaiserschmarrn (einfach);Dessert;mittel;45;Braten;vegetarisch;4;Joghurt oder Quark;500;g;Beeren;400;g;Zucker oder Honig;2;EL;;;;;;;;;;;;;;;;Verrühren.;Schichten.;Servieren.;;
Milchreis;Dessert;mittel;50;Kochen;vegetarisch;4;Joghurt oder Quark;500;g;Beeren;400;g;Zucker oder Honig;2;EL;;;;;;;;;;;;;;;;Verrühren.;Schichten.;Servieren.;;
Apfelcrumble;Dessert;mittel;60;Backen;vegetarisch;4;Äpfel;800;g;Mehl;200;g;Zucker;80;g;Butter;120;g;Zimt;1;TL;;;;;;;;;;Ofen vorheizen.;Äpfel vorbereiten.;Streusel kneten.;Backen.;
Fruchtsmoothie;Getränk;leicht;10;Mixen;vegetarisch;4;Obst (z. B. Banane + Beeren);500;g;Joghurt oder Pflanzjoghurt;300;g;Saft (z. B. Apfel);300;ml;Haferflocken (optional);2;EL;;;;;;;;;;;;;Obst vorbereiten.;Mit Joghurt und Saft mixen.;Abschmecken.;Direkt servieren.;
Milchshake (Banane);Getränk;leicht;10;Mixen;vegetarisch;4;Bananen;3;Stück;Milch;600;ml;Vanilleeis;200;g;Honig oder Zucker;1;EL;;;;;;;;;;;;;Bananen schneiden.;Mit Milch und Eis mixen.;Süßen.;Servieren.;
